B(0.1)	0.5779	0.6965	0.2915
B(1)	0.1302	0.2210	0.0909
B(5)	0.1106	0.0973	0.0529
B(10)	0.0486	0.0644	0.0386
S(0.1)	3.5416	4.0106	1.9399
S(1)	0.9903	1.2054	0.6753
S(5)	0.4390	0.4901	0.2777
S(10)	0.3222	0.3411	0.1762
