B(0.1)	0.0719	0.1251	0.0720
B(1)	0.0179	0.0338	0.0200
B(5)	0.0080	0.0112	0.0074
B(10)	0.0100	0.0134	0.0074
S(0.1)	0.6049	0.6391	0.0515
S(1)	0.2560	0.2683	0.0209
S(5)	0.1079	0.1140	0.0087
S(10)	0.0791	0.0766	0.0037
