B(0.1)	0.1583	0.1144	0.1348
B(1)	0.0863	0.1181	0.0574
B(5)	0.0216	0.0332	0.0138
B(10)	0.0137	0.0147	0.0096
S(0.1)	0.4300	0.4975	0.1653
S(1)	0.3120	0.2957	0.0662
S(5)	0.1391	0.1292	0.0252
S(10)	0.1058	0.1086	0.0114
